analysis_id,6s7y997w6200f55
pvalue,0.5847701
mouse_strain,C57BL
gene_accession_id,MGI:1933159
mouse_life_stage,Early adult
parameter_name,Eosinophils
parameter_id,IMPC_IMM_052_001
gene_symbol,Rnf114
