parameter_name,Thoracic processes
mouse_strain,C57BL
gene_accession_id,MGI:1915325
pvalue,0.9146393
parameter_id,IMPC_XRY_064_001
analysis_id,424q6186737t485
gene_symbol,Lurap1
mouse_life_stage,Early adult
