analysis_id,6f452272m2522h2
pvalue,0.8226255
parameter_name,Limb grasping
gene_accession_id,MGI:1913396
gene_symbol,Maco1
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,ESLIM_008_001_017
