analysis_id,k2f6o22069u7htp
parameter_id,TCPLA_GRS_011_001
pvalue,0.7742397
parameter_name,Forelimb and hindlimb grip strength normalised against body weight
gene_symbol,Hspa5
gene_accession_id,MGI:95835
mouse_strain,C57BL
mouse_life_stage,E12.5
