gene_symbol,Duoxa2
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:1914061
analysis_id,0l0n1s1aj532461
pvalue,0.9825511
parameter_name,Eye
parameter_id,IMPC_EYE_001_001
