parameter_name,PQ
analysis_id,5vo4jm3p84w2j0u
gene_symbol,Cmpk1
parameter_id,IMPC_ECG_005_001
gene_accession_id,MGI:1913838
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.8605191
