analysis_id,32jw508ul3ie945
gene_symbol,Ssr2
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,MGP_IMM_071_001
parameter_name,Total CD4+ T cells - % of CD45+
gene_accession_id,MGI:1913506
pvalue,0.1687001
