analysis_id,333xg66nag45900
pvalue,0.5088572
gene_accession_id,MGI:1346088
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,eye size
parameter_id,ESLIM_001_001_117
gene_symbol,Cd52
