gene_symbol,Zc2hc1a
gene_accession_id,MGI:1914556
pvalue,0.1416229
analysis_id,my37405m1fl0eo8
parameter_name,B cell number
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,MGP_PBI_034_001
