parameter_id,MGP_CSD_015_001
parameter_name,Head coat/hair presence
pvalue,0.5101136
mouse_strain,129SV
gene_symbol,Zmynd8
analysis_id,7j008os69yk2deo
mouse_life_stage,Early adult
gene_accession_id,MGI:1918025
