analysis_id,7zfb46xowd403aw
mouse_life_stage,Late adult
pvalue,0.623908
gene_symbol,Snap23
parameter_name,Coat - color - abdomen
mouse_strain,C57BL
parameter_id,JAXLA_CSD_007_001
gene_accession_id,MGI:109356
