parameter_name,Monocytes
parameter_id,IMPC_IMM_051_001
pvalue,0.107473
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Pld1
gene_accession_id,MGI:109585
analysis_id,ahzkrzpk673te34
