parameter_id,CCP_LFO_001_001
parameter_name,Weight
pvalue,0.9239881
gene_symbol,Dnajb3
mouse_strain,C58BL
gene_accession_id,MGI:1306822
analysis_id,i6vnc8lx7686nu3
mouse_life_stage,Early adult
