analysis_id,lv95v4e246zd85t
pvalue,0.3058432
mouse_strain,C57BL
parameter_id,IMPC_IMM_063_001
parameter_name,B Cells
gene_accession_id,MGI:1914309
mouse_life_stage,Early adult
gene_symbol,OLA1
