parameter_name,Caudal processes
parameter_id,IMPC_XRY_067_001
analysis_id,zog8v4a2r135g0j
pvalue,0.3004846
mouse_life_stage,Early adult
gene_accession_id,MGI:1914071
mouse_strain,C57BL
gene_symbol,Bcs1l
