analysis_id,k1m9822qp1a16as
parameter_id,JAX_OFD_016_001
mouse_strain,C57BL
gene_accession_id,MGI:108072
pvalue,0.6776452
parameter_name,Center permanence time
mouse_life_stage,Early adult
gene_symbol,Traf6
