analysis_id,0d7l44f733h2t1f
gene_symbol,Sla2
gene_accession_id,MGI:1925049
parameter_name,% Pre-pulse inhibition - PPI2
parameter_id,IMPC_ACS_034_001
mouse_life_stage,Early adult
pvalue,0.109874
mouse_strain,C57BL
