gene_symbol,Bach2
mouse_life_stage,Early adult
parameter_id,IMPC_ECH_018_001
gene_accession_id,MGI:894679
pvalue,0.5102469
mouse_strain,C57BL
analysis_id,eo86893j52v52ry
parameter_name,Respiration Rate
