gene_symbol,Serinc3
mouse_life_stage,Early adult
pvalue,0.112237
mouse_strain,C57BL
parameter_id,ESLIM_004_001_701
gene_accession_id,MGI:1349457
analysis_id,p62yqx513j349vz
parameter_name,Glucose response AUC
