parameter_name,Neural tube closure
gene_symbol,Tiprl
pvalue,0.6230502
gene_accession_id,MGI:1915087
parameter_id,IMPC_GEL_027_001
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,068t90jb9rk4al2
