mouse_strain,B6J
mouse_life_stage,Early adult
analysis_id,3498r6we6d9s070
parameter_id,IMPC_IMM_013_001
gene_symbol,Nr0b2
parameter_name,DN NKT cells
pvalue,0.693621
gene_accession_id,MGI:1346344
