analysis_id,rgy3bl001zmyaf6
parameter_name,Whole arena average speed
gene_symbol,Tnfsf10
mouse_strain,C50BL
mouse_life_stage,Early adult
pvalue,0.5661175
gene_accession_id,MGI:107414
parameter_id,JAXLA_OFD_009_001
