gene_symbol,Hrnr
analysis_id,250cl00n2xh51e4
pvalue,0.3022751
parameter_name,Startle Response
parameter_id,M-G-P_008_001_013
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:3046938
