parameter_name,Limb coat/hair presence
gene_accession_id,MGI:96757
gene_symbol,Lcn2
pvalue,0.8599029
parameter_id,MGP_CSD_030_001
analysis_id,q0ho3m4w7z35g65
mouse_life_stage,Early adult
mouse_strain,C57BL
