analysis_id,pp88sjz2349tzpw
Parameter_name,PP1 startle magnitude
mouse_strain,C57BL
Parameter_id,ESLIM_011_001_002
Mouse_life_stage,Early adult
pvalue,0.8492545
Gene_symbol,Lime1
Gene_accession_id,MGI:1919949
