parameter_id,IMPC_LDT_006_001
analysis_id,epn8p24409f4m91
gene_accession_id,MGI:2385156
pvalue,0.5257704
mouse_strain,C57BL
parameter_name,Latency to first transition into dark
gene_symbol,Sdcbp2
mouse_life_stage,Early adult
