analysis_id,7i8lx83g42my02c
gene_symbol,Bmi1
parameter_id,IMPC_LDT_008_001
gene_accession_id,MGI:88174
pvalue,0.5973392
mouse_strain,C57BL
mouse_life_stage,E12.5
parameter_name,Percent time in light
