parameter_name,Time mobile dark side
gene_accession_id,MGI:2670995
mouse_strain,C57BL
pvalue,0.4607958
gene_symbol,Trp53i11
analysis_id,c12b001359m8z84
parameter_id,JAX_LDT_005_001
mouse_life_stage,Early adult
