gene_symbol,Cntfr
gene_accession_id,MGI:99605
parameter_name,Mean right eye lens density
mouse_life_stage,Early adult
analysis_id,jo7wil01b144q86
parameter_id,IMPC_EYE_059_001
mouse_strain,129SV
pvalue,0.7861119
