gene_symbol,Mms22l
mouse_life_stage,Early adult
parameter_name,Periphery distance travelled
parameter_id,JAX_OFD_010_001
mouse_strain,129SV
gene_accession_id,MGI:2684980
analysis_id,v67mwynij27v31x
pvalue,0.6028455
