analysis_id,zd752r4vqhs95pn
mouse_life_stage,Early adult
gene_accession_id,MGI:105073
mouse_strain,C57BL
parameter_id,IMPC_GEP_017_001
parameter_name,Facial Morphology
pvalue,0.447373
gene_symbol,Tnni1
