gene_symbol,Tubb4b
parameter_name,Transitional B Cells (CD21/35 low)
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,7f73e6a770ft1f7
gene_accession_id,MGI:1915472
parameter_id,IMPC_IMM_069_001
pvalue,0.5195023
