gene_symbol,Fgb
pvalue,0.7448926
gene_accession_id,MGI:99501
analysis_id,ami7tq0wg049jz0
mouse_life_stage,E12.5
parameter_name,Effector CD4+ T helper cells - % of CD4+ T helper cells
mouse_strain,C57BL
parameter_id,MGP_MLN_005_001
