parameter_name,Lens Opacity
gene_symbol,Zyg11b
pvalue,0.247179
gene_accession_id,MGI:2685277
mouse_strain,C57BL
analysis_id,95u76a709715p62
parameter_id,IMPC_EYE_017_001
mouse_life_stage,Early adult
