analysis_id,61oe4vq46n736fb
gene_symbol,Gpbp1l1
mouse_strain,C57BL
parameter_name,Time mobile light side
gene_accession_id,MGI:1924360
mouse_life_stage,Early adult
pvalue,0.8264344
parameter_id,JAX_LDT_003_001
