analysis_id,vln53am3l9807no
mouse_life_stage,Early adult
pvalue,0.8491404
parameter_id,JAXLA_OFD_017_001
parameter_name,Center average speed
mouse_strain,C3H
gene_symbol,Mecom
gene_accession_id,MGI:95457
