analysis_id,4rq6ilw030toyoi
mouse_strain,C57BL
gene_symbol,Tnni1
mouse_life_stage,Early adult
gene_accession_id,MGI:105073
parameter_id,IMPC_HEM_039_001
parameter_name,Large Unstained Cell (LUC) count
pvalue,0.7555422
