gene_symbol,Exd1
parameter_id,MGP_IMM_006_001
parameter_name,Effector CD4+ T helper cells - % of CD4+ T helper cells
pvalue,0.2680654
analysis_id,ytgah7ej660079k
gene_accession_id,MGI:3045306
mouse_life_stage,Early adult
mouse_strain,C57BL
