parameter_name,Time mobile dark side
pvalue,0.2187308
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,JAX_LDT_005_001
gene_symbol,IFT74
analysis_id,p2r8g1294j412da
gene_accession_id,MGI:1914944
