analysis_id,rl170qg732963og
parameter_id,MGP_CSD_030_001
mouse_life_stage,E9.5
parameter_name,Limb coat/hair presence
mouse_strain,C57BL
pvalue,0.9980824
gene_symbol,Orc2
gene_accession_id,MGI:1328306
