parameter_name,Hindpaw - size
mouse_life_stage,Early adult
parameter_id,JAXLA_CSD_041_002
gene_accession_id,MGI:1918764
pvalue,0.6211363
analysis_id,l2or88569k4ff8e
gene_symbol,Sfpq
mouse_strain,C57BL
