analysis_id,795l1r8202lp23c
pvalue,0.2675563
gene_symbol,Ddx27
parameter_id,MGP_IMM_006_001
mouse_strain,C57BL
parameter_name,Effector CD4+ T helper cells - % of CD4+ T helper cells
mouse_life_stage,Early adult
gene_accession_id,MGI:2385884
