analysis_id,4kizou2j5ix610e
mouse_strain,C57BL
parameter_id,IMPC_CBC_025_001
parameter_name,LDL-cholesterol
mouse_life_stage,Early adult
pvalue,0.08883816
gene_accession_id,MGI:1922855
gene_symbol,Kdm5b
