analysis_id,jci5t2kd2ae4b5n
pvalue,0.1979223
gene_accession_id,MGI:1914061
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,IMPC_IMM_047_001
parameter_name,DN CD44+CD62L+ NKT cells
gene_symbol,Duoxa2
