gene_symbol,Tubb4b
gene_accession_id,MGI:1915472
parameter_id,MGP_PBI_001_001
mouse_strain,C57BL
pvalue,0.7938574
mouse_life_stage,Early adult
parameter_name,Total T cell percentage
analysis_id,9n56ng6f3d07mdx
