analysis_id,94s6k7y06442ncq
gene_symbol,Mov10
parameter_id,MGP_IMM_004_001
gene_accession_id,MGI:97054
parameter_name,Total CD4+ T cells - % of ab T cells
pvalue,0.9077843
mouse_life_stage,Early adult
mouse_strain,C57BL
