analysis_id,37eh2od3p0n38tk
parameter_name,CV
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,IMPC_ECG_003_001
gene_symbol,Rab22a
pvalue,0.8797896
gene_accession_id,MGI:105072
