gene_symbol,Rhbg
parameter_name,Total cholesterol
analysis_id,cqk4yr81ue402rt
parameter_id,IMPC_CBC_015_001
gene_accession_id,MGI:1927379
mouse_life_stage,Early adult
pvalue,0.7950511
mouse_strain,C57BL
