analysis_id,8mogpgie8aa0o51
parameter_name,Time mobile dark side
mouse_life_stage,E12.5
parameter_id,JAX_LDT_005_001
gene_symbol,Ahcy
gene_accession_id,MGI:87968
pvalue,0.9463027
mouse_strain,C57BL
