parameter_id,JAX_URI_002_001
parameter_name,Creatinine
gene_symbol,Lpgat1
mouse_strain,C57BL
mouse_life_stage,Late adult
pvalue,0.8729234
analysis_id,7n7x48p67z701bp
gene_accession_id,MGI:2446186
