parameter_name,Respiration Rate
gene_symbol,Slc30a4
mouse_strain,C57BL
pvalue,0.4503408
Analysis_id,5xo9ta1e8k8prm0
gene_accession_id,MGI:1345282
mouse_life_stage,Late adult
Parameter_id,IMPC_ECH_018_001
