parameter_name,Vocalization
mouse_life_stage,E12.5
gene_accession_id,MGI:1914071
pvalue,0.7394318
mouse_strain,C57BL
gene_symbol,Bcs1l
analysis_id,c08p3m9qn4q4h71
parameter_id,IMPC_CSD_078_001
