gene_symbol,Fpgs
analysis_id,9b1kx0f7246rvjq
parameter_id,IMPC_CSD_051_002
mouse_life_stage,Early adult
pvalue,0.6781392
mouse_strain,C57BL
gene_accession_id,MGI:95576
parameter_name,Hindlimb nail - number
