gene_symbol,Rap2b
pvalue,0.06914836
analysis_id,2vm18947x2378fd
parameter_name,Lens Opacity
gene_accession_id,MGI:1921262
mouse_strain,C57BL
parameter_id,IMPC_EYE_017_001
mouse_life_stage,Early adult
