analysis_id,24g311vf4367066
parameter_name,Resting Treg cells - % of Treg
mouse_life_stage,Early adult
pvalue,0.7004158
parameter_id,MGP_IMM_011_001
gene_symbol,Maco1
gene_accession_id,MGI:1913396
mouse_strain,C57BL
