analysis_id,h3i422phgl02n1c
pvalue,0.9293681
mouse_strain,C57BL
gene_accession_id,MGI:2685053
parameter_id,MGP_IMM_015_001
mouse_life_stage,Early adult
parameter_name,Resting CD8+ T cells - % of CD8+
gene_symbol,Ntmt2
