parameter_name,Mean corpuscular hemoglobin
pvalue,0.5255186
parameter_id,IMPC_HEM_006_001
analysis_id,7f91in9w8cx73t6
mouse_strain,C57BL
gene_accession_id,MGI:2140475
gene_symbol,AU040320
mouse_life_stage,Early adult
