analysis_id,6vcv4i89964y33j
parameter_name,Persistence of hyaloid vascular system
gene_accession_id,MGI:2444554
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Mapkap1
parameter_id,IMPC_EYE_027_001
pvalue,0.1699525
