gene_symbol,Zc2hc1a
mouse_strain,C57BL
parameter_id,MGP_PBI_019_001
parameter_name,Neutrophil percentage
mouse_life_stage,Early adult
gene_accession_id,MGI:1914556
pvalue,0.8177051
analysis_id,g0cgu25505k193j
