analysis_id,071s5iau589t6g4
mouse_life_stage,E12.5
parameter_name,Light side time spent
gene_symbol,Ahcy
mouse_strain,C58BL
parameter_id,JAX_LDT_002_001
pvalue,0.9171052
gene_accession_id,MGI:87968
