mouse_life_stage,Late adult
parameter_id,IMPC_OFD_011_001
pvalue,0.8163615
gene_accession_id,MGI:1336200
parameter_name,Periphery resting time
gene_symbol,Hpca
analysis_id,527w10ss2i478tf
mouse_strain,C57BL
