analysis_id,y765v68f8j8w0ct
mouse_life_stage,Early adult
parameter_id,IMPC_HEM_039_001
pvalue,0.2776922
gene_symbol,Amigo1
parameter_name,Large Unstained Cell (LUC) count
gene_accession_id,MGI:2653612
mouse_strain,C57BL
