gene_symbol,Rufy4
parameter_id,JAX_SLW_013_001
mouse_life_stage,Early adult
pvalue,0.6544826
mouse_strain,C57BL
parameter_name,Breath rate during sleep mean
analysis_id,84bd0457s7077c4
gene_accession_id,MGI:3588214
