parameter_name,Right total retinal thickness
analysis_id,77ew6iw6a6nnu08
gene_symbol,F2
parameter_id,IMPC_EYE_062_001
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.7467862
gene_accession_id,MGI:88380
